achinai	achina	V;PFV
achinai	achinai	V;IPFV
achinai	achinamis	V;HAB_A
achinai	achinari	V;PST.yet
achinai	achinabai	V;PST.DUR
achinai	achinapaoni	V;PST.REM
achinai	achinanonkota	V;FUT.INM
achinai	achinakoinsi	V;ASER
achinai	achinayohma	V;NEG.never
achinai	achinayohma	V;NEG.yet
achinai	achinai iki	IPFV;REF.S/A>S
achinai	achinamisa	V;PFV;HAB_A
achinai	achinaisi	V;IPFV;PRG
achinai	achinasa	V;PRG;EST
achinai	achinayantana	V;PFV;PST.yesterday
achinai	achinashina	V;PFV;PST.days
achinai	achinahenia	V;PFV;PAS.REM.DUR
achinai	achinai kai	V;IPFV;FUT.INM
achinai	achinabira	V;PFV;DUB
achinai	achinabirai	V;IPFV;DUB
achinai	achinanaka	V;EST;HAB_M
achinai	achinakatsi iki	V;DES;REF.S/A>S
achinai	achinamakin	V;IMP;NEG
achinai	achinarabea	V;PFV;DUAL
achinai	achinarabei	V;IPFV;DUAL
achinai	achinabotana	V;EST;PL
achinai	achinabo	V;PFV;PL
achinai	achinakani	V;IPFV;PL
achinai	achinama	V;PFV;NEG
achinai	achinamai	V;IPFV;NEG
achinai	achinamashina	V;PST.days;NEG
achinai	achinabota	V;PFV;MOV.DUR
achinai	achinakawana	V;PFV;MOV.passing
achinai	achinapakea	V;PFV;MOV.down
achinai	achinaina	V;PFV;MOV.up
achinai	achinatana	V;PFV;MOV.goto
achinai	achinatoshia	V;PFV;MOV.arrive
achinai	achinahon	V;TR;REF.S/A>A
achinai	achinakatsi iki	V;DES;REF.S/A>S
achinai	achinah	V;INTR;REF.S/A>S
achinai	achinaniah	V;PST.REM;REF.S/A>S
achinai	achinahona	V;PFV;BEN
achinai	achinarana	V;PFV;MAL
achinai	achinama	V;PFV;CAU
achinai	achinahakoa	V;PFV;DIM
achinai	achinahekoi	V;IPFV;DIM
achinai	achinahekoni	V;PST.REM;DIM
achinai	achinakian	V;PFV;ASOC
achinai	achinakini	V;IPFV;ASOC
