achi	acha	V;PFV
achi	achi	V;IPFV
achi	achmis	V;HAB_A
achi	achri	V;PST.yet
achi	achbai	V;PST.DUR
achi	achpaoni	V;PST.REM
achi	achnonkota	V;FUT.INM
achi	achkoinsi	V;ASER
achi	achyohma	V;NEG.never
achi	achyohma	V;NEG.yet
achi	achi iki	IPFV;REF.S/A>S
achi	achmisa	V;PFV;HAB_A
achi	achisi	V;IPFV;PRG
achi	achsa	V;PRG;EST
achi	achyantana	V;PFV;PST.yesterday
achi	achshina	V;PFV;PST.days
achi	achenia	V;PFV;PAS.REM.DUR
achi	achi kai	V;IPFV;FUT.INM
achi	achbira	V;PFV;DUB
achi	achbirai	V;IPFV;DUB
achi	achanaka	V;EST;HAB_M
achi	achkatsi iki	V;DES;REF.S/A>S
achi	achmakin	V;IMP;NEG
achi	achrabea	V;PFV;DUAL
achi	achrabei	V;IPFV;DUAL
achi	achbotana	V;EST;PL
achi	achkani	V;IPFV;PL
achi	achma	V;PFV;NEG
achi	achmai	V;IPFV;NEG
achi	achmashina	V;PST.days;NEG
achi	achbota	V;PFV;MOV.DUR
achi	achkawana	V;PFV;MOV.passing
achi	achpakea	V;PFV;MOV.down
achi	achina	V;PFV;MOV.up
achi	achtana	V;PFV;MOV.goto
achi	achtoshia	V;PFV;MOV.arrive
achi	achon	V;TR;REF.S/A>A
achi	achkatsi iki	V;DES;REF.S/A>S
achi	achah	V;INTR;REF.S/A>S
achi	achniah	V;PST.REM;REF.S/A>S
achi	achona	V;PFV;BEN
achi	acharana	V;PFV;MAL
achi	achma	V;PFV;CAU
achi	achakoa	V;PFV;DIM
achi	achekoi	V;IPFV;DIM
achi	achekoni	V;PST.REM;DIM
achi	achkian	V;PFV;ASOC
achi	achkini	V;IPFV;ASOC
achi	achkin	V;PAS.REM.HAB;ASOC
achi	achmai	V;IPFV;CAU
achi	achmakin	V;TR;CAU
achi	achanan	V;PFV;REC
achi	achananpaoni	V;PST.REM;REC
achi	achpaiyantankin	V;PST.yesterday;DES
achi	achpaiyantankin	V;DES;REF.S/A>S
achi	achkoinsi	V;HAB_A;IPFV;ENF
achi	achkeana	V;TR;PFV;NEG.FRUS
achi	achkoana	V;INTR;PFV;NEG.FRUS
achi	achberana	V;TR;PFV;MOV.VEN
achi	achkerana	V;INTR;PFV;MOV.VEN
achi	achbaina	V;TR;PFV;MOV.ANDA
achi	achkaina	V;INTR;PFV;MOV.ANDA
achi	achbokona	V;TR;PFV;MOV.around
achi	achakea	V;INTR;PFV;MOV.around
achi	achpatansi	V;V;IPFV;MOV.ITER
achi	achi kai	V;IPFV;FUT.INM;REF.S/A>S
achi	achkoinsi kai	V;IPFV;ASER;REF.S/A>S
achi	achmakarana	V;PFV;CAU;MAL
achi	acharanhakoa	V;PFV;MAL;DIM
achi	achraberana	V;TR;PFV;MOV.VEN;MAL
achimai	achima	V;PFV
achimai	achimai	V;IPFV
achimai	achimamis	V;HAB_A
achimai	achimari	V;PST.yet
achimai	achimabai	V;PST.DUR
